Agua_(g),Proteina_(g),Lipidos_Tot_(g),Carbohitrado_(g),Fibra_TD_(g),Azucar_Tot_(g),Calcio_(mg),Hierro_(mg),Magnesio_(mg),Fosforo_(mg),Potasio_(mg),Energ_Kcal,Tasa_obesidad
81.24,10.45,2.27,4.76,0,4,111,0.13,9,150,125,81,9
82.48,12.39,1.02,2.72,0,2.72,61,0.14,5,134,86,72,9
50.01,22.17,22.35,2.19,0,1.03,505,0.44,20,354,76,300,3
48.38,21.6,24.64,2.47,0,1.01,575,0.2,21,412,75,318,2
53.78,24.26,15.92,2.77,0,1.13,782,0.22,23,463,84,254,2
71.7,11.26,12.98,3.04,0,0.27,207,0.38,11,158,105,174,2
74.41,11.39,7.91,5.14,0,0.31,272,0.44,15,183,125,138,8
87.67,3.33,3.46,4.74,0,0.31,128,0.05,13,97,139,63,10
87.73,3.33,3.4,4.74,0,4.74,128,0.05,13,97,139,63,2
65.74,3.61,12.72,17.13,0,17.13,90,0.04,10,86,151,194,7
88.18,1.75,3.41,6.16,0,17.13,33,0.39,6,74,114,61,10
88.13,3.15,3.25,4.8,0,5.05,113,0.03,10,84,132,61,1
87.69,3.28,3.66,4.65,0,5.05,119,0.05,13,93,151,64,8
89.21,3.3,1.98,4.8,0,5.06,120,0.02,11,92,140,50,5
88.86,3.48,1.92,4.97,0,5.06,128,0.05,14,100,162,51,7
87.71,3.95,1.98,5.49,0,5.26,143,0.06,16,112,182,56,1
89.92,3.37,0.97,4.99,0,5.2,125,0.03,11,95,150,42,8
89.81,3.48,0.97,4.97,0,5.2,128,0.05,14,100,162,43,9
88.74,3.93,1.17,5.52,0,5.2,142,0.06,16,111,180,48,9
90.84,3.37,0.08,4.96,0,5.09,122,0.03,11,101,156,34,5
90.38,3.57,0.25,5.02,0,5.02,129,0.05,15,104,171,37,9
89.36,3.96,0.25,5.56,0,4.79,143,0.06,16,112,182,41,8
90.13,3.31,0.88,4.79,0,4.79,116,0.05,11,89,151,40,2
88.2,3.1,3.46,4.46,0,4.46,101,0.05,5,86,253,61,0
2.47,26.32,26.71,38.42,0,38.42,912,0.47,85,776,1330,496,6
3.16,36.16,0.77,51.98,0,51.98,1257,0.32,110,968,1794,362,9
3.96,35.1,0.72,52.19,0,52.19,1231,0.31,117,985,1705,358,0
4.9,35.5,0.2,51.8,0,52.19,280,0.32,60,1011,680,354,2
2.97,34.3,5.78,49,0,49,1184,0.3,110,933,1592,387,6
27.16,7.91,8.7,54.4,0,54.4,284,0.19,26,253,371,321,1
74.04,6.81,7.56,10.04,0,10.04,261,0.19,24,203,303,134,3
79.4,7.55,0.2,11.35,0,11.35,290,0.29,27,195,332,78,3
82.3,3.17,3.39,10.34,0.8,9.54,112,0.24,13,101,167,83,9
82.17,2.99,1.9,12.13,0.7,9.55,109,0.24,14,102,169,76,1
84.91,3.46,1,9.86,0.1,9.94,129,0.23,13,96,172,62,7
82.45,3.52,2.34,10.74,1,9.66,114,0.42,23,105,197,77,0
87.03,3.56,4.14,4.45,0,4.45,134,0.05,14,111,204,69,8
87.5,1.03,4.38,6.89,0,6.89,32,0.03,3,14,51,70,10
83.39,3.75,6.89,5.18,0,20.85,169,0.12,31,117,178,97,2
80.7,5.98,7,5.36,0,20.85,193,0.1,18,158,137,108,8
72.2,3.05,2.7,21.15,0.3,20.85,132,0.31,16,126,224,119,2
74.45,3.86,3.03,17.75,0,17.75,146,0.1,12,115,183,112,0
87.9,3.47,3.25,4.66,0,4.66,121,0.05,12,95,155,61,5
85.23,5.73,0.18,7.68,0,7.68,199,0.09,19,157,255,56,2
90.84,3.37,0.08,4.96,0,5.09,122,0.03,11,101,156,34,0
87.71,3.95,1.98,5.49,0,1.13,143,0.06,15,112,182,56,6
74.04,6.81,7.56,10.04,0,0.27,261,0.19,24,203,303,134,1
3.16,36.16,0.77,51.98,0,51.98,1257,0.32,110,968,1794,362,10
3.96,35.1,0.72,52.19,0,52.19,1231,0.31,117,985,1705,358,4
89.21,3.3,1.98,4.8,0,5.06,120,0.02,11,92,140,50,4
89.92,3.37,0.97,4.99,0,5.2,125,0.03,11,95,150,42,7
87.43,3.86,0.18,7.5,0,7.5,143,0.12,13,109,177,43,6
71.57,3.53,0,23.53,1.2,14.97,88,0.42,40,166,339,112,1
82.17,2.99,1.9,12.13,0.7,9.55,194,0.24,14,76,123,78,0
88.13,3.15,3.27,4.78,0,5.05,113,0.03,10,84,132,61,8
